Titel,Artikel,Datum,,
Drachten: Fietser om het leven gekomen,"Drachten: Fietser om het leven gekomen 
	  Op de Stationsweg in Drachten werd afgelopen nacht een zwaargewonde 35 jarige man aangetroffen. Hij zou met zijn fiets tegen een lantaarnpaal zijn gebotst. Dat meldt de lokale nieuwswebsite 112Drachten op haar website. Hulpdiensten kwamen ter plaatse om eerste hulp te verlenen. De Drachtster werd met hoofdletsel naar het ziekenhuis gebracht, waar hij later overleed aan zijn verwondingen. De politie doet onderzoek naar de toedracht van het ongeval.",2018-02-25,,
Balkbrug: Dode bij ongeval op N48,"
	  Bij een ongeval op de autoweg N48 bij Balkbrug is maandag een 54-jarige man uit Almelo om het leven gekomen.  Hij kwam met zijn auto vanaf de Maatschappijwijk en wilde de N48 oprijden. Daarbij heeft hij een vrachtwagen niet gezien. Die reed vervolgens in de flank van de auto. De auto belandde in de sloot. De bestuurder overleed direct. De vrachtwagenchauffeur bleef ongedeerd. De N48 tussen Balkbrug en Ommen is een tijdlang afgesloten geweest. ",2007-09-10,,
Dodelijk ongeval op A4,"Dodelijk ongeval op A4 
	  Zaterdagochtend vroeg vond een ernstig ongeluk plaats tussen Leidschendam en Leiden. Daarbij kwam een automobilist om het leven. De man stond met zijn auto stil op de snelweg. Een andere auto klapte er bovenop. Deze bestuurder kwam met de schrik vrij. Het is onduidelijk waarom het slachtoffer stil stond. Twee rijstroken van de A4 zijn urenlang afgesloten geweest. De rijksweg A4 van Den Haag naar Amsterdam is weer volledig open voor het verkeer.   - Een 40-jarige Amsterdammer is vanochtend rond vijf uur om het leven gekomen op A4, tussen Leidschendam en Leiden. De auto van het slachtoffer stond volgens de politie stil of reed heel langzaam. Een andere auto klapte er bovenop. De bestuurder van deze auto kwam met de schrik vrij. Het is onduidelijk waarom de auto van het slachtoffer geen normale snelheid had. Het is mogelijk dat de man al overleden was voor het ongeluk. Sectie moet dat uitwijzen. Twee rijstroken van de A4 zijn urenlang afgesloten geweest.",2003-03-08,,
Dode bij ongeval in Fleringen,"Dode bij ongeval in Fleringen Almelo. Een 80-jarige man uit Albergen die zaterdag gewond raakte bij een verkeersongeluk in Fleringen, is woensdagmorgen in het Twenteborg ziekenhuis aan zijn verwondingen overleden. De Albergenaar liep hersenletsel op toen hij, bij het overtsteken van de kruising Jan van Arkelkweg-Kanaal Zuidzijde, werd aangereden door een 22-jarige automobilist uit Weerselo. Die naderde de man op zijn fiets (mewt hulpmotor) van rechts, probeerde hem nog te ontwijken, maar kon een aanrijding niet voorkomen.",2003-03-19,,
Meppel - N371: Dodelijk ongeval,"
	  Een 34-jarige man uit Meppel is vrijdagochtend om het leven gekomen bij een ongeval op de N371, de weg van Havelte naar Meppel. Een vrachtwagen reed over de N371 in de richting van Havelte. Uit de tegenovergestelde richting kwam een personenauto aangereden. Deze personenauto reed door onbekende oorzaak over de middenstreep.  De vrachtwagen en de personenauto raakten elkaar en daardoor schoot de vrachtauto de andere weghelft op. De vrachtwagen botste vervolgens frontaal op de 34-jarige automobilist, die uit de richting van Havelte kwam. De Meppeler overleed ter plaatse.  De bestuurder van de andere personenauto werd ter controle naar het ziekenhuis gebracht. De vrachtwagenchauffeur bleef ongedeerd en werd ter plekke opgevangen. De N371 is ter hoogte van de Pijlebrug tot 14.00 uur afgesloten geweest voor onderzoek.		",2011-03-04,,
Nijverdal : Vrouw overleden na aanrijding,"Nijverdal : Vrouw overleden na aanrijding 
	  Bij een aanrijding in Nijverdal is dinsdagochtend een 71-jarige vrouw om het leven gekomen. Zij werd aangereden door een vrachtwagen toen zij met haar fiets aan de hand de straat wilde oversteken. Het ongeluk gebeurde even voor 09.00 uur op de kruising van de Parallelweg en de Constantijnstraat in Nijverdal, meldt de politie. De 35-jarige vrachtwagenchauffeur uit Slowakije stond met zijn wagen links voorgesorteerd. Hij bedacht zich en besloot rechts af te slaan, waarbij hij de vrouw over het hoofd zag. Zij overleed ter plaatse aan haar verwondingen.		",2008-11-25,,
Delft: Man overleden na botsing tegen lantaarnpaal,"Delft: Man overleden na botsing tegen lantaarnpaal 
	  In Delft is zaterdagmorgen een 54-jarige scooterrijder om het leven gekomen. De man is vermoedelijk met zijn scooter tegen de stoep gereden en terechtgekomen tegen een lantaarnpaal.  Agenten vonden de man zwaargewond aan de Nieuwe Langendijk. Ambulancepersoneel heeft nog getracht de man te reanimeren, maar hij overleed later aan zijn verwondingen in een ziekenhuis. Dat liet de politie zaterdag weten. 		",2011-11-12,,
Marrsum: Man overleden na val met fiets,"Marrsum: Man overleden na val met fiets 
	  Bij een verkeersongeval is een 76-jarige inwoner uit Beilen om het leven gekomen. Maandag rond 11.00 fietste het slachtoffer over de Hegedyk. Door onbekende oorzaak is de man met zijn fiets naast de weg geraakt. Toen hij weer probeerde om op de weg te komen is de Beilumer ten val gekomen en hierbij zwaar gewond geraakt. Met de ambulance is hij overgebracht naar het MCL in Leeuwarden alwaar hij in de loop van de dag is overleden. De politie doet onderzoek naar de toedracht van dit verkeersongeval en is op zoek naar getuigen. Hebt u iets gezien van dit ongeval? Meldt u zich dan bij de politie via het telefoonnummer 0900 — 8844.		",2010-05-25,,
A20 - Moordrecht: Dramatisch ongeval met dubbele dodelijke afloop,"
	  Even voor half vier van vrijdag op zaterdagnacht ging het enorm mis op de A20 bij Moordrecht / Nieuwerkerk aan den IJssel. De hulpdiensten werden gealarmeerd voor een ongeval met beknelling. Niet veel later werd er opgeschaald naar middelhulpverlening. Brandweer, ambulances, politie en een traumahelikopter kwamen ter plaatse. Direct werd door Rijkswaterstaat en later door Vermeulen de A20 richting Rotterdam bij Knooppunt Gouwe dicht gezet. Deze is dan ook direct enkele uren afgesloten geweest. Ter plaatse bleek een auto met hoge snelheid te zijn ingereden op een auto die op de vluchtstrook stond. In de auto die hier stil stond zat een vrouw die volgens omstanders ook nog eens zwanger zou zijn. De vrouw is door de brandweer uit haar auto bevrijd waarna zij is gereanimeerd en met spoed naar het ziekenhuis is vervoerd. Haar toestand is op dit moment onbekend. In de auto die achterop botste zat een man welke ter plaatse aan zijn verwondingen overleed. De VOA kwam ter plaatse en heeft langdurig onderzoek gedaan waarna de berging kon worden opgestart. Hierna kon de A20 worden schoongemaakt en zou tussen acht en negen uur de A20 weer worden vrijgegeven. De politie onderzoekt de exacte toedracht van het ongeval. 112HM wenst nabestaanden, familie en andere betrokkenen van beide slachtoffers veel sterkte. Item later geplaatst in verband met de ernst van de situatie. Helaas is door de politie zondagmorgen het droevige nieuws naar buiten gebracht dat ook de 33-jarige vrouw aan haar verwondingen is overleden. Eerder overleed al het mannelijke slachtoffer bij het ongeval. Nieuwerkerk aan den IJssel - De 33-jarige vrouw die gewond in het ziekenhuis lag na de aanrijding op de A20 is aan haar verwondingen overleden. Bij het verkeersongeval op zaterdag 4 november ter hoogte van Nieuwerkerk aan den IJssel overleed ook een 24-jarige man uit Rotterdam. Bij de meldkamer kwamen om 3.20 uur meerdere meldingen binnen van een ernstig ongeval met twee voertuigen waarbij meerdere personen bekneld zouden zitten. Hulpverleners die ter plaatse kwamen, konden niets meer doen voor het mannelijke slachtoffer, hij was al overleden. De vrouw zat bekneld. De brandweer bevrijdde haar uit het voertuig en ambulancepersoneel bracht haar naar het ziekenhuis waar zij later overleed. Rijkswaterstaat sloot de weg af zodat de hulpverleners hun werk konden doen. De VOA (Verkeers Ongevallen Analyse) onderzoekt de toedracht van het ongeval.",2017-11-04,,
Hoofddorp: Hoofddorper dood in water,"Hoofddorp: Hoofddorper dood in water 
	  Een 36-jarige man uit Hoofddorp is in zijn woonplaats omgekomen door een ongeval. Dat meldde politie. Zijn lichaam werd gevonden in het water langs de Geniedijk. Het is niet bekend hoe lang hij daar in heeft gelegen. De man was al als vermist opgegeven.		",2012-12-02,,
Raerd - N354: Dodelijk ongeluk tussen Leeuwarden en Sneek,"
	  Bij een ongeluk op de N354 van Leeuwarden naar Sneek is dinsdagochtend om half zes een 30-jarige automobilist uit Wirdum om het leven gekomen. Dat heeft de Friese politie bekendgemaakt. Het ongeluk gebeurde bij de afslag naar het dorpje Raerd. De man reed in de richting Sneek en raakte door onbekende oorzaak in een flauwe bocht in een slip. Hij botste frontaal tegen een vrachtwagencombinatie die uit de andere rijrichting kwam.		",2010-10-19,,
Echt - N276: 14-jarige jongen uit Echt overleden na ongeval,"
	  Een 14-jarige jongen die dinsdag gewond raakte bij een verkeersongeval in Echt, is in het ziekenhuis aan zijn verwondingen overleden. Een woordvoerder van de politie bevestigt dat de familie van het jongetje inmiddels is ingelicht.  De jongen werd dinsdagochtend om 08:00 uur aangereden op de Rijksweg in zijn woonplaats. Toen hij wilde oversteken werd hij geschept door een auto. Het slachtoffer werd met hersenletsel afgevoerd naar het ziekenhuis, nu blijkt dus dat het ongeval hem alsnog fataal is geworden.  1Limburg schreef eerder: Fietser geschept door auto in Echt Een fietser is dinsdagochtend gewond geraakt bij een ongeval op de Rijksweg in Echt. De fietser wilde rond 8:00 uur de weg oversteken en werd daarbij geschept door de automobilist. Het slachtoffer is met hersenletsel naar het ziekenhuis vervoerd. Door het ongeval is de weg enige tijd afgesloten geweest.",2015-01-20,,
Dwingeloo - N865:Fietster (88) overleden na verkeersongeval,"
	  Een 88-jarige vrouw uit Ruinen is woensdagavond overleden aan de gevolgen van een aanrijding op de Spierigerweg in Dwingeloo eerder op de dag. De vrouw fietste woensdagmiddag over de Lheebroekerzandweg in de richting van Lhee. Toen ze de kruising met de Spierigerweg zonder uit te kijken overstak, werd ze geschept door een 58-jarige autobestuurder uit Dwingeloo. Ze werd zwaar gewond overgebracht naar het UMCG in Groningen waar ze ’s avonds overleed.		",2009-10-28,,
Poeldijk: Fietser overleden na aanrijding met vrachtwagen,"Poeldijk: Fietser overleden na aanrijding met vrachtwagen 
	  Woensdagochtend is op het terrein van ABC Westland een 62-jarige fietser uit Poeldijk overleden nadat deze werd aangereden door een vrachtwagen. Het noodlottig ongeval vond omstreeks half elf plaats. Het slachtoffer fietste achter de vrachtwagen langs, op het moment dat de vrachtwagen naar achteren kwam rijden. De vrachtwagenchauffeur heeft daarbij vermoedelijk het slachtoffer over het hoofd gezien. Gezien de ernst van de melding, werden de brandweer, twee ambulances en het Mobiel Medisch Team (MMT) uit Amsterdam opgeroepen. Het MMT kwam ter plaatse met de traumahelikopter. Motorrijders van de Verkeerspolitie stonden klaar om de ambulance met het slachtoffer naar het ziekenhuis te begeleiden. Helaas mocht hulp niet meer baten; het slachtoffer is ter plaatse overleden. De verkeerspolitie doet onderzoek naar het ongeval. Nieuwsbank.nl schreef: Fietser overlijdt na aanrijding met vrachtwagen Op het bedrijventerrein ABC Westland is op woensdagochtend 2 september rond 10.15 uur een fietser overleden aan de gevolgen van een aanrijding met een vrachtwagen.  De fietser, een 62-jarige man uit Poeldijk, reed op het moment van de aanrijding achter de vrachtwagen en raakte bij een parkeermanoeuvre van de vrachtwagen dodelijk gewond. Een reanimatie van het slachtoffer heeft niet meer mogen baten. De verkeersongevallendienst doet verder onderzoek naar  de toedracht van de aanrijding. ",2015-09-02,,
"Eindhoven: Voetganger overleden na aanrijding, bestuurder aangehouden","Eindhoven: Voetganger overleden na aanrijding, bestuurder aangehouden 
	  Een 76-jarige man uit Eindhoven is maandagavond overleden nadat hij werd aangereden door een auto. De 22-jarige automobilist is aangehouden. De voetganger wilde rond 20.15 uur de kruising van de Franklin D. Rooseveltlaan met de Vlokhovenseweg in Eindhoven oversteken toen hij door de auto werd geschept. Het ongeval gebeurde nabij winkelcentrum Woensel. De man is vrijwel direct aan zijn verwondingen overleden. De automobilist, eveneens uit Eindhoven, werd naar het ziekenhuis overgebracht om te worden behandeld aan enkele lichte verwondingen. Daar is hij later door de politie aangehouden en in verzekering gesteld. De man is een bloedproef afgenomen. De uitslag daarvan is nog niet bekend. http://www.ed.nl/polopoly_fs/1.4092558.1384244056!/image/image.jpg_gen/derivatives/landscape_800_600/image-4092558.jpg http://www.ed.nl/polopoly_fs/1.4092556.1384243980!/image/image.jpg_gen/derivatives/landscape_800_600/image-4092556.jpg http://www.ed.nl/polopoly_fs/1.4092554.1384243948!/image/image.jpg_gen/derivatives/landscape_800_600/image-4092554.jpg http://www.ed.nl/polopoly_fs/1.4092194.1384202573!/image/image.jpg_gen/derivatives/landscape_800_600/image-4092194.jpg",2013-11-11,,
Lettele - N344: Dodelijk ongeval bij Oude Molen (uitspraak),"
	  Op de Holterweg bij Oude Molen is woensdagmiddag een 65-jarige fietser uit Bathmen bij een ongeval om het leven gekomen. De man werd aangereden door een hakselaar, een landbouwmachine waarmee mais van het land wordt gehaald. De Bathmenaar overleed ter plaatse aan zijn verwondingen. Het is nog onduidelijk wat er precies is gebeurd. De verkeersongevallendienst van de politie onderzoekt de toedracht van het fatale ongeluk, omstreeks 14.30 uur op de kruising van de Holterweg en de Oude Molenweg. Link naar foto: http://www.destentor.nl/polopoly_fs/1.4044798.1381329032!/image/image.jpg_gen/derivatives/fixed_width_500/image-4044798.jpg  RTV Oost schreef: Geen bewijs dat chauffeur maïshakselaar fietser uit Bathmen dood reed in Lettele Het staat niet vast dat de chauffeur van een maïshakselaar vorig jaar oktober in Lettele een 65-jarige fietser uit Bathmen geen voorrang verleende, waarna het dodelijke ongeluk gebeurde. Dat zegt de rechtbank in Zwolle, die de man wel een boete van 500 euro oplegde omdat hij niet goed oplette. Uit onderzoek is niet duidelijk geworden hoe de 65-jarige fietser uit Bathmen onder het rechter achterwiel van de grote machine terecht is gekomen. Van het ongeval op de kruising Oude Molenweg en de Holtensestraat in Lettele waren geen getuigen. Duidelijk is dat het zicht van de chauffeur belemmerd werd door de maaibalken van de hakselaar en dat één van zijn spiegels was ingeklapt. Geen sporen op de hakselaar Het is volgens de rechtbank niet uit te sluiten dat de fietser al gevallen was, voordat hij werd overreden. Op de hakselaar zijn geen sporen gevonden die erop wijzen dat de chauffeur uit Holten de fietser geraakt heeft waardoor die ten val kwam. De chauffeur vertelde twee weken geleden dat hij de fietser niet had gezien en ook niets had gemerkt. Pas toen hij in zijn spiegel keek, zag hij het dode slachtoffer liggen. Het slachtoffer was een alleenstaande man die weinig sociale contacten had. Op zijn begrafenis kwamen ook maar een paar mensen. Een vrouw uit Bathmen, bij wie de man wekelijks een kopje koffie kwam drinken, en de woningbouwvereniging betaalden de kosten van de begrafenis.",2013-10-09,,
Twee doden door ongeval op spoorwegovergang,"Twee doden door ongeval op spoorwegovergang 
	  In het Utrechtse Leersum zijn dinsdagavond twee vrouwen om het leven gekomen nadat de auto waarin zij zaten onder een trein terechtkwam. Dat meldde de politie dinsdag.  Rond 18.00 uur werd het voertuig op een spoorwegovergang gegrepen door een intercitytrein richting Den Helder. Volgens de politie werden de twee inzittenden daardoor uit het voertuig geslingerd. ",2005-09-13,,
Koningsbosch: Wielrenner overleden na val (Uitspraak),"
	  Een 65-jarige man uit Roermond is woensdagavond overleden nadat hij rond 19.30 uur betrokken was bij een valpartij. Een groep wielrenners reed op de Bosserheideweg in de richting van Koningsbosch en in tegenovergestelde richting kwam een tractor aanrijden. De 65-jarige man is samen met een andere wielrenner door onbekende oorzaak ten val gekomen.  Een traumahelikopter werd opgeroepen en de man is met verwondingen overgebracht naar het ziekenhuis in Maastricht. Onderweg naar het ziekenhuis is de man in de helikopter overleden. De politie onderzoekt op dit moment wat er precies is gebeurd, en wat de rol van de tractorbestuurder is geweest. Het is op dit moment niet bekend of de tractorbestuurder betrokken is bij het ongeval en of hem iets te verwijten valt.  Rechten Nieuws schrijft: Geen schuld bestuurder trekker aan dodelijk ongeval met wielrenner Een 63-jarige man uit de gemeente Echt-Susteren is niet schuldig aan het veroorzaken van een aanrijding waarbij een wielrenner om het leven kwam. Daarom sprak de rechtbank Oost-Brabant hem vandaag vrij. De man reed op 5 augustus 2015 in zijn woonplaats met een landbouwtrekker met 2 aanhangwagens. Op enig moment passeerde hij een geparkeerde auto terwijl een groep wielrenners in tegengestelde richting de combinatie passeerde. Een van de wielrenners reed in de berm en kwam ten val. Een wielrenner die daarachter reed, raakte in onbalans en kwam ook ten val. Daarbij kwam hij in aanraking met het linker achterwiel van de trekker. De wielrenner kwam hierbij om het leven. Volgens de officier van justitie had de verdachte gevaar en hinder op de weg veroorzaakt door de tegemoetkomende groep wielrenners onvoldoende de vrije doorgang te verlenen toen hij de geparkeerde auto passeerde. De rechtbank is van oordeel dat de man strafrechtelijk niets valt te verwijten. Uit het onderzoek is gebleken dat hij voldoende ruimte heeft gelaten voor de wielrenners om de combinatie veilig en onbelemmerd te kunnen passeren. Daarnaast is uit dat onderzoek niet gebleken dat de man de maximumsnelheid van 25 km/u overschreed. Ook is uit het dossier niet komen vast te staan dat de man een verkeersfout heeft begaan, dat hij door zijn rijgedrag verkeer zou hebben gehinderd of onvoldoende ruimte heeft vrijgelaten aan de groep wielrenners. De rechtbank concludeert dan ook dat het noodlottige ongeval een uiterst ongelukkige samenloop van omstandigheden is.",2015-08-05,,
Motorrijder verongelukt in Enschede,Motorrijder verongelukt in Enschede  - Bij een botsing met een auto is zaterdagmiddag een 27-jarige motorrijder uit Deurningen om het leven gekomen. De 72-jarige automobilist uit Enschede draaide de Vliegveldweg in Enschede op en verleende daarbij geen voorrang aan de Deurninger. De motorrijder overleed ter plekke. In verband met zijn dood werden gisteren alle wedstrijden van de voetbalclub DSVD in Deurningen afgelast.,,,2003-03-22
Winterswijk - N312: Man (34) uit Lichtenvoorde overleden bij eenzijdig ongeluk,"
	  Bij een eenzijdig ongeluk op de Corleseweg in Winterswijk is maandagmorgen een 34-jarige man uit Lichtenvoorde om het leven gekomen. Dat meldt de politie. De man is rond rond 06.00 uur met zijn auto van de weg geraakt en tegen een boom tot stilstand gekomen. Hoe het ongeluk heeft kunnen gebeuren, is nog onduidelijk. Onder meer een mobiel medische team is per helikopter ter plaatse gekomen. Alle hulp mocht echter niet meer baten, de Lichtenvoordenaar is ter plekke overleden. Vanwege het ongeluk is de weg afgesloten. Politie.nl schreef: Man overleden bij eenzijdig verkeersongeval Bij een eenzijdig ongeval op de Corleseweg in Winterswijk is maandagochtend 13 maart een 34-jarige man uit Lichtenvoorde om het leven gekomen. De man is door nog onbekende redenen in een flauwe bocht van de weg geraakt en in de berm terecht gekomen, waarna de auto tegen een boom reed. De man is ter plekke overleden aan zijn verwondingen. De verkeersongevallenanalyse doet onderzoek naar de precieze toedracht van het ongeval. https://images4.persgroep.net/rcs/L_7dlbuzdY5GlTMxcaArOJSp-G4/diocontent/100413814/_fitwidth/694/?appId=21791a8992982cd8da851550a453bd7f&quality=0.9		",2017-03-13,,
Vlissingen: Meisje (4) overleden na frontale botsing ,"
	  Een 4-jarig meisje uit Vlissingen is donderdagavond aan haar verwondingen overleden nadat zij betrokken was bij een frontale botsing op de Nieuwe Zuidbeekseweg in Vlissingen. Een 28-jarige bestuurder uit Vlissingen raakte rond 17.12 uur op de Nieuwe Zuidbeekseweg door onbekende oorzaak op de verkeerde weghelft en botste frontaal tegen een 26-jarige bestuurster uit dezelfde woonplaats. De 28-jarige bestuurder en het meisje, dat bij hem in de auto zat, werden ernstig gewond naar het ziekenhuis gebracht. Daar is het meisje later op de avond aan haar verwondingen overleden. De bestuurster van de andere wagen is ook gewond geraakt, maar heeft het ziekenhuis inmiddels mogen verlaten. De verkeersdienst doet onderzoek naar het ongeval. https://images1.persgroep.net/rcs/tENw5gO3EY1Vk2pGif-kZj7PniI/diocontent/138668908/_fitwidth/694/?appId=21791a8992982cd8da851550a453bd7f&quality=0.9 https://www.hvzeeland.nl/pictures/0/5/5/114550.jpg https://www.hvzeeland.nl/pictures/8/8/4/114488.jpg https://www.hvzeeland.nl/pictures/3/9/4/114493.jpg https://www.hvzeeland.nl/pictures/3/0/5/114503.jpg",2018-12-27,,
Hoogezand: Bromfietsster omgekomen door aanrijding,"Hoogezand: Bromfietsster omgekomen door aanrijding 
	  Een 34-jarige vrouw uit Kolham die woensdag zwaargewond raakte bij een aanrijding op de Hoofdstraat in Hoogezand, is aan haar verwondingen overleden. De vrouw reed op haar bromfiets op het fietspad langs de Hoofstraat. Een 57-jarige automobilist uit Hoogezand wilde de Hoofdstraat oprijden vanuit een uitrit. Toen de automobilist over het fietspad reed, kwamen beide bestuurders met elkaar in botsing. Met hoofdletsel is zij naar een ziekenhuis gebracht en is ondanks alle medische inspanningen overleden aan haar verwondingen. De politie heeft registratie gemaakt van het ongeval en heeft dit in onderzoek. De politie is op zoek naar getuigen van een verkeersongeluk afgelopen woensdagmiddag op de Hoofdstraat in Hoogezand. Een 34-jarige bestuurster van een snorfiets raakte bij het ongeluk zo ernstig gewond aan haar hoofd, dat ze donderdag overleed in een ziekenhuis. Het ongeluk deed zich omstreeks tien voor twee ’s middags voor op de Hoofdstraat ter hoogte van het garagebedrijf Setz.  De vrouw botste met haar snorfiets op het fietspad op een auto, bestuurd door een 57-jarige inwoner van Hoogezand die bij het garagebedrijf wilde wegrijden. De politie wil graag in contact komen met mensen die het slachtoffer kort voor het ongeluk hebben zien rijden of de aanrijding hebben gezien. 		",2011-10-26,,
Zundert: Man (32) komt om na aanrijding tegen boom,"
	  Bij een eenzijdig ongeval op de Oekelsebaan in Zundert in Noord-Brabant is zaterdagavond een 32-jarige automobilist uit Zundert om het leven gekomen. Dit meldt Politie Breda zaterdagavond op Twitter. De 32-jarige man reed door nog onbekende oorzaak met zijn bestelbus tegen een boom. Er waren geen andere voertuigen bij het ongeluk betrokken.  Het eenzijdige ongeval vond rond 19.20 uur plaats op de Oekelsebaan in Zundert. De man overleed ter plaatse aan zijn verwondingen. http://images0.tcdn.nl/binnenland/article24975181.ece/BINARY/q/zundert http://i.obstorage.nl/183c9bdaea994884ad713d9cba58b68c/opener/Foto_Alexander_VingerhoedsObscura_Foto.jpg http://i.obstorage.nl/99685652dd7745d1a908837d24e0b84c/opener/Foto_Alexander_VingerhoedsObscura_Foto.jpg		",2016-01-09,,
Katwijk aan Zee: Slachtoffer (79) van aanrijding op Tramstraat overleden,"
	  Om er zeker van te zijn dat de familie was ingelicht over het dodelijke slachtoffer hebben wij gewacht met publicatie. Dinsdagmiddag is bij een tragisch ongeval op de Tramstraat een 79-jarige vrouw overleden. De vrouw kwam in botsing met een auto en raakte daarbij ernstig gewond. Door het personeel van twee ambulances en een traumateam is zij ter plekke behandeld. De hulp kwam echter te laat voor de vrouw. Reanimeren mocht niet baten en zij overleed op de plaats van het ongeval aan haar verwondingen. De Verkeersongevallenanalyse van de politie doet onderzoek naar het ongeval. Rondom het ongeval zijn zwarte schermen geplaatst om nieuwsgierige toeschouwers het zicht te ontnemen. Politie.nl schreef: Slachtoffer verkeersongeluk overleden Bij een verkeersongeval op de Tramstraat is op dinsdagmiddag 4 september een persoon overleden. Een auto en een vrouw die reed in een scootmobiel kwamen met elkaar in botsing. De voetganger, een 79-jarige vrouw uit Katwijk overleed aan haar verwondingen. De Verkeersongevallen analyse (VOA) is ter plaatse en doet onderzoek naar de toedracht van het ongeval. Op de plaats van het ongeval zijn veel passanten geconfronteerd met de gevolgen van de aanrijding. De politie adviseert mensen die behoefte hebben aan slachtofferhulp om contact op te nemen met de politie. Ook hiervoor kan gebeld worden met 0900-8844. https://www.google.nl/maps/@52.203966,4.4017147,3a,75y,112.51h,83.33t/data=!3m6!1e1!3m4!1sldOLJww6vr7MksOh3JV0NA!2e0!7i13312!8i6656",2018-09-04,,
Wetsend: Automobilist omgekomen bij ernstig ongeval,"Wetsend: Automobilist omgekomen bij ernstig ongeval 
	  Bij een ernstig verkeersongeval op de Dokkumerwei zijn woensdagmiddag twee personenauto’s frontaal met elkaar in botsing gekomen. Door het ongeval is één persoon om het leven gekomen. Het ongeval op de Dokkumerwei ontstond omstreeks half zes ter hoogte van de afslag Wetsens. Hierbij waren de personenauto's door nog onbekende oorzaak frontaal met elkaar in botsing gekomen. De hulpdiensten werden massaal gealarmeerd om hulp te verlenen en naast twee ambulance's en verschillende politie-eenheden, werd ook de brandweer van Dokkum gealarmeerd. Bij aankomst bleek het te gaan om een ernstig ongeval, waarbij drie personen betrokken waren. De hulpdiensten hebben direct geprobeerd om de personen uit hun voertuig te bevrijden en te behandelen. Voor 1 persoon kwam alle hulp helaas te laat en is door het ongeval ter plekke overleden. Twee andere personen in het andere voertuig raakten gewond en zijn door de brandweer uit hun voertuig bevrijd. Door het ambulancepersoneel zijn ze behandeld en vervolgens overgebracht naar het ziekenhuis. Wat de oorzaak van het ongeval precies is geweest, is niet bekend. De VOA (Verkeersongevallenanalyse) is ter plekke gekomen en heeft onderzoek gedaan naar de toedracht van de aanrijding. Nieuwsbank.nl schreef: Dodelijk verkeersongeval op de Dokkumerwei Bij een verkeersongeval op de Dokkumerwei is woensdagmiddag een 66-jarige man uit de gemeente Dongeradeel om het leven gekomen. Een 18-jarige bestuurder en zijn 16-jarige inzittende, beiden uit de gemeente Dongeradeel raakten gewond.  De 18-jarige bestuurder kwam vanuit Dokkum en reed in de richting van Metslawier. In een flauwe bocht bij Wetsens botsten beide voertuigen frontaal op elkaar. De hulpverlening voor de 66-jarige bestuurder uit de gemeente Dongeradeel mocht niet meer baten. Hij overleed ter plaatse. De 18-jarige man uit de gemeente Dongeradeel en zijn 16-jarige passagier zijn allebei met onbekend letsel overgebracht naar het ziekenhuis. Verkeersspecialisten van de politie doen onderzoek naar de toedracht van het ongeval. ",2015-12-16,,
Wieringenwerf - N240: Dodelijke aanrijding,"
	  Een 35-jarige vrouw uit Wieringenwerf is zondagmiddag bij een aanrijding om het leven gekomen.  Rond 14.15 uur reed een personenauto met daarin twee Poolse mannen over de N240 (medemblikkerweg) toen zij, door nog onbekende oorzaak, met hun voertuig in de berm terecht kwamen en daarna de verkeerde weghelft op reden. Hier reed net de 35-jarige vrouw. Zij kon een aanrijding niet meer voorkomen en vloog van de weg, tegen een boom. De twee Poolse mannen zijn met onbekend letsel naar het ziekenhuis gebracht. Zij zijn aangehouden en er wordt onderzocht of er alcohol in het spel is. Verkeersondersteuning van de politie heeft de aanrijding opgenomen. Hierdoor is de weg de hele middag afgesloten. 		",2012-07-15,,
Veldhoven: Motorrijder omgekomen bij ongeluk,"Veldhoven: Motorrijder omgekomen bij ongeluk 
	  Een 33-jarige motorrijder is zondagavond om het leven gekomen toen hij rond 18.55 uur onderuit ging op de Meerhovendreef in Veldhoven. Dat zou gebeurd zijn nadat de Veldhovenaar in botsing kwam met een 16-jarige bromfietser. De motorrijder kwam daarbij ten val, gleed door tegen een paal, raakte ernstig gewond en overleed kort daarna in het ziekenhuis. Ze reden beiden dezelfde kant op, het is nog onduidelijk hoe de botsing precies kon gebeuren. Een traumahelikopter kwam ter plaatse. De bromfietser raakte niet gewond. Verkeersspecialisten onderzoeken de exacte toedracht van het ongeluk. https://images0.persgroep.net/rcs/kva6YBB_9VzGadiorKGXV_JjMko/diocontent/107816975/_fitwidth/694/?appId=21791a8992982cd8da851550a453bd7f&quality=0.9 https://images3.persgroep.net/rcs/ujoJVoDel_ttpHJZTTvH89muAXs/diocontent/107816990/_fitwidth/694/?appId=21791a8992982cd8da851550a453bd7f&quality=0.9",2017-06-25,,
Musselkanaal - man overleden na val van fiets,"Musselkanaal - man overleden na val van fiets 
	  Een 61-jarige fietser uit Musselkanaal is vrijdagmiddag na een val op de Sluiskade in zijn woonplaats overleden. De man viel door onbekende oorzaak van zijn fiets en is als gevolg van zijn verwondingen overleden. De politie sluit een aanrijding met een ander voertuig uit.		",2006-11-24,,
