Titel,Artikel,Datum,Confirmed_slachtoffers,Involved_vehicles
Aanhouding voor rijden onder invloed na botsing in Hoogland,"HOOGLAND - Een betrokkene bij een kop-staartbotsing in Hoogland is vanmiddag aangehouden voor rijden onder invloed van verdovende middelen 

Het ongeval gebeurde rond 15 55 uur op de Bunschoterstraat (N199)  De bestuurder van de achterste auto is in een ambulance nagekeken  Daarna is hij aangehouden 

Eén van de auto's is door een bergingsbedrijf meegenomen vanwege de schade",2019/02/28,0,"[5, 5]"
Vrouw met spoed naar ziekenhuis na aanrijding op N341 bij Westerhaar,"Een vrouw op een scooter is aan het eind van de middag gewond geraakt bij een aanrijding met een busje op de Sibculoseweg (N341) bij Westerhaar  Ze is met spoed naar het ziekenhuis gebracht  De andere vrouw die achterop de scooter zat, hoefde niet mee naar het ziekenhuis 
De personen in het busje zijn ongedeerd  Het verkeer dat vanaf de N36 komt, ondervindt hinder van het ongeluk  Het is onduidelijk hoe het ongeval heeft kunnen gebeuren",2019/02/28,0,"[3, 3, 8]"
Fietser naar ziekenhuis na aanrijding met auto,"Een fietser is donderdagavond bij een aanrijding in Roermond gewond geraakt 

De fietser kwam op de rotonde bij de Bredeweg en de Oranjelaan in botsing met een auto 

Ziekenhuis
Het is onduidelijk waardoor het mis ging  De fietser is per ambulance naar het ziekenhuis overgebracht, meldt een correspondent ter plaatse 

Over de ernst van de verwondingen is niets bekend",2019/02/28,0,"[2, 7]"
"Ongeval met drie auto's, zeker één gewonde","×
Ongeval met drie auto's, zeker één gewonde
www 1limburg nl
FREE - In Google Play
VIEW
Overslaan en naar de inhoud gaan
Advertentie

Home
Login
Voorpagina
Nieuws
Sport
112
Entertainment
Carnaval
Limburg stemt
Service
Ongeval met drie auto's, zeker één gewonde
Sem CaelenGeplaatst opdonderdag 28 februari 2019 - 18:41
Bij een aanrijding in Wellerlooi is donderdagnamiddag zeker één persoon gewond geraakt 

Bij het incident op de N271 waren drie voertuigen betrokken  De gewonde persoon is met spoed per ambulance overgebracht naar het ziekenhuis 

Brandweer
Het ging iets na 17:30 uur door nog onbekende oorzaak mis op de Rijksweg  De brandweer moest worden opgetrommeld om een van de inzittenden uit diens benarde positie te bevrijden 

Ravage
De ravage op het wegdek is aanzienlijk  De N271 is dan ook voorlopig afgesloten",2019/02/28,0,"[5, 5, 5]"
Fietser naar ziekenhuis na aanrijding met auto,"Een fietser is donderdagavond bij een aanrijding in Roermond gewond geraakt 

De fietser kwam op de rotonde bij de Bredeweg en de Oranjelaan in botsing met een auto 

Ziekenhuis
Het is onduidelijk waardoor het mis ging  De fietser is per ambulance naar het ziekenhuis overgebracht, meldt een correspondent ter plaatse 

Over de ernst van de verwondingen is niets bekend",2019/02/28,0,"[2, 5]"
FOTO’S | Fietster zwaargewond bij ongeval op Rottumerweg,"HEERENVEEN - Een fietster is vanochtend zwaargewond geraakt na een aanrijding met een automobilist 

Het ongeval gebeurde op de Rottumerweg ter hoogte van de kruising met de Dominee Kingweg  

De fietser is door de traumaheli naar het ziekenhuis vervoerd  Hoe het met de fietster gaat is niet bekend  Onbekend is ook of de automobolist verwondingen heeft opgelopen 

De verkeersongevallendienst (voa) heeft onderzoek gedaan naar de toedracht van het ongeval en kreeg daarbij ondersteuning van een special droneteam van de politie 

Vanwege het onderzoek werd een deel van het kruispunt afgezet  Het kruispunt is ind e loop van de ochtend weer vrijgegeven",2019/02/27,0,"[2, 5]"
File op N36 bij Vriezenveen door botsing auto's,"Twee auto's zijn vanochtend op elkaar gebotst op de N36 bij Vriezenveen  Door het ongeluk staat er een file 
Het ongeluk gebeurde tussen Vriezenveen en Aadorp  Bij de kop-staartbotsing is niemand gewond geraakt 

De politie regelt het verkeer tot de auto's zijn weggesleept",2019/02/27,0,"[5, 5]"
N36 enige tijd dicht na ongeluk bij Vriezenveen,"De N36 is vanochtend enige tijd dicht geweest na een ongeluk bij Vriezenveen  Een auto botste achterop een vrachtwagen, de automobilist raakte gewond 
Vanochtend botsten ook al twee auto's op elkaar op de N36 bij Vriezenveen, toen raakte er niemand gewond",2019/02/27,0,"[5, 12]"
Motorrijder raakt zwaargewond bij botsing in Assen,"Aan de Troelstralaan in Assen is vanmiddag een motorrijder zwaargewond geraakt toen hij achterop een auto botste 
Hoe dat kon gebeuren is nog onduidelijk  De man is naar het ziekenhuis gebracht  Ook de traumahelikopter kwam ter plaatse 

De motor van de man raakte zwaar beschadigd  De politie onderzoekt wat er precies is gebeurd  De Troelstralaan is tussen de Nobellaan en de Vaart Zuidzijde afgesloten",2019/02/27,0,"[4, 5]"
Fietser gewond bij aanrijding in Wenum Wiesel,"WENUM WIESEL - Op woensdagmiddag 27 februari heeft er iets na 17 00 uur een ongeval plaatsgevonden op de kruising Elburgerweg- Zwolseweg, tussen een fietser en een auto  De automobiliste zag vermoedelijk de fietser over het hoofd en kon een botsing niet meer voorkomen  Het slachtoffer is per ambulance met onbekende verwondingen overgebracht naar het ziekenhuis 
De verkeersongevallen analyse van de politie is op te hoogte gesteld en doet onderzoek naar de toedracht van het ongeval  De bestuurster raakte bij het ongeval niet gewond",2019/02/27,0,"[2, 5]"
Vrouw gewond bij inhaalmanoeuvre op Gooiseweg,"Een vrouw is woensdag gewond geraakt bij een ongeval op de Gooiseweg in Zeewolde  Het slachtoffer zat in een auto die tijdens het inhalen van een vrachtauto van de weg raakte  Dat gebeurde rond 13:30 uur, op het weggedeelte tussen de Gooimeerdijk en de Nijkerkerweg 

Een traumateam landde met een helikopter bij het ongeval om te assisteren bij de hulpverlening  De vrouw is per ambulance naar het ziekenhuis gebracht 

De weg was zo'n anderhalf uur afgesloten na het ongeluk voor onderzoek en opruimwerkzaamheden",2019/02/27,0,[5]
Cauberg tijdje dicht na aanrijding met fietser,"Twitter
Mail
Read later
Op de Cauberg in Valkenburg is woensdagochtend een fietser gewond geraakt na een aanrijding met een auto 

Vanwege het ongeval is de weg een tijdje dicht geweest, zo meldt de politie Heuvelland op Instagram 

De toedracht van de aanrijding is niet bekend  De fietser is met onbekend letsel overgebracht naar het ziekenhuis",2019/02/27,0,"[2, 5]"
Fietser geschept door auto in Tilburg,"TILBURG - Op de Wandelboslaan in Tilburg is woensdagavond een fietser geschept door een auto  Het slachtoffer kwam door de klap meters verder op het wegdek terecht 

Een ambulance heeft de fietser naar het ziekenhuis gebracht  De politie onderzoekt het ongeluk heeft kunnen gebeuren",2019/02/27,0,"[2, 5]"
Gewonde en veel oponthoud na botsing in Hilversum,"Vier voertuigen zijn dinsdagochtend met elkaar in botsing gekomen op op de Sumatralaan in Hilversum  Daarbij raakte één persoon gewond  Het verkeer in een deel van Hilversum liep flink vast 

Het ongeval vond plaats rond kwart over acht op de brug die over de Lage Naarderweg loopt  Twee personen zijn door de ambulancedienst nagekeken, één van hen is naar het ziekenhuis vervoerd 

Het ongeval zorgde voor een flinke chaos in Hilversum noord  Zo liep onder andere de Johannes Geradtsweg vast tijdens de spits 

Hoe het ongeval kun gebeuren is niet bekend  De verkeerspolitie doet onderzoek",2019/02/26,0,"[5, 5, 5, 5]"
Fietsster gewond na aanrijding in Schijndel,"SCHIJNDEL - Op de kruising van de Van Berghenstraat met de Kerkendijk in Schijndel is dinsdagmiddag een fietsster aangereden door een busje  
 
De vrouw is ter plaatse in de ambulance behandeld aan haar verwondingen  Haar fiets raakte zwaar beschadigd  

Hoe het ongeluk kon gebeuren is nog niet bekend",2019/02/26,0,"[2, 8]"
"Drie gewonden bij botsing in Made, 17-jarige jongen reed zonder rijbewijs","MADE - Bij een botsing tussen twee auto’s op de kruising van de Dahliastraat en de Wittestraat in Made zijn maandagmiddag rond half vier drie mensen gewond geraakt 
GESCHREVEN DOOR
Corné Verschuren
Een 17-jarige bestuurder uit Hooge Zwaluwe gaf volgens de politie geen voorrang aan een auto die van rechts kwam  Bovendien reed de jongen zonder rijbewijs  De jonge bestuurder en een van zijn drie inzittenden raakten gewond bij de botsing  

Ook de 58-jarige bestuurder van de andere auto raakte gewond en is naar het ziekenhuis gebracht  Door de botsing kwam zijn auto in een weiland terecht",2019/02/26,0,"[5, 5, 5]"
A28 urenlang afgesloten na ongeluk met motor,"SOESTERBERG - Op de A28 is een traumahelikopter geland na een motorongeluk in de buurt van Soesterberg  De weg werd afgesloten in de richting van Amersfoort 

Er ontstond snel een file van zo'n vijf kilometer, maar de vertraging nam ook snel weer af  Eén rijstrook ging na verloop van tijd weer open, maar het duurde zeker twee uur voordat de weg helemaal werd vrijgegeven  Vanuit Utrecht werd een omleidingsroute ingesteld via de A12 en A30 via Barneveld 

De precieze toedracht van het ongeluk is niet duidelijk en evenmin is bekend hoe de motorrijder eraan toe is  Getuigen zeggen dat er ook twee personenauto's bij betrokken waren",2019/02/26,0,"[4, 5, 5]"
Bestuurder bestelbusje gewond na aanrijding tegen brug,"De bestuurder van een bestelbusje is dinsdagavond gewond geraakt nadat hij met zijn wagen tegen een brugleuning aanreed  Het voorval gebeurde op de Oostwolderweg (N367) bij Winschoten 
De bestuurder is in de ambulance gecontroleerd en daarna met onbekende verwondingen naar het ziekenhuis gebracht  

Het bestelbusje liep door de klap forse schade op en is door een bergingsbedrijf afgevoerd",2019/02/26,0,[8]
Vrachtwagen verliest trailer op westelijke ringweg,"Een vrachtwagen is dinsdagavond laat zijn trailer verloren op de westelijke ringweg (N370) in Groningen, ter hoogte van de afslag richting de benzinepomp en de Stadskerk 
De aanhanger zat volgeladen met goederen  Een bergingsbedrijf heeft de vrachtwagen weggesleept  Hoe het voorval kon gebeuren, is niet bekend 

Na het ongeval was één rijbaan tijdelijk afgesloten",2019/02/26,0,[12]
Vrouw aangereden op snelweg bij Amsterdam,"AMSTERDAM - Een vrouw is gisteravond rond 23 15 uur op een afrit van de A2 bij knooppunt Amstel aangereden door een auto  Ze liep op de verbindingsweg van de A2 naar de A10 

Een automobilist reed haar aan  De 21-jarige vrouw, waarschijnlijk een toerist, raakte gewond en is overgebracht naar het ziekenhuis  Onduidelijk is hoe ernstig gewond ze is, maar ze was wel aanspreekbaar 

De afrit is tijdelijk afgesloten geweest voor onderzoek  Nog onduidelijk is hoe de daar terecht is gekomen  Wel was ze volgens de politie vermoedelijk onder invloed, maar dat moet verder nog worden onderzocht",2019/02/27,0,"[1, 5]"
"Fietsster met spoed naar ziekenhuis na aanrijding in Oud Ootmarsum, automobilist rijdt door","Een fietsster is vanavond met spoed naar het ziekenhuis gebracht nadat ze werd aangereden door een auto in Oud Ootmarsum  Het ongeluk vond plaats op de Laagsestraat  De vrouw viel hierbij van haar fiets en raakte gewond 
De automobilist is volgens een omstander weggereden na de aanrijding  De politie onderzoekt de zaak",2019/02/26,0,"[2, 5]"
Automobiliste rijdt de sloot in bij Kiel-Windeweer,"Een bestuurster van een auto is dinsdagmiddag gewond geraakt toen ze in de sloot belandde langs de Wildervanksterweg ter hoogte van Kiel-Windeweer 
De vrouw was door nog onbekende oorzaak van de weg geraakt en botste eerst tegen een verkeersbord om daarna in de sloot terecht te komen 

Medewerkers van de brandweer hebben haar uit de auto gehaald  Over de toestand van de vrouw is niets bekend  Haar auto raakte flink beschadigd",2019/02/26,0,[5]
Onopvallende politieauto schept fietster Torenstraat Den Haag - District8.net,"Den Haag – Op de Torenstraat in Den Haag is dinsdagmiddag een fietster gewond geraakt bij een aanrijding met een onopvallende politieauto  Dit gebeurde ter hoogte van het Westeinde  De onopvallende politieauto reed met een blauwe zwaailicht op het dak  De fietster kwam na de klap hard ten val 

Het ambulancepersoneel onderzocht de vrouw en daarna werd zij op een vacuümmatras gelegd  Nadat zij met de brancard in de ambulance werd gebracht werd het slachtoffer overgebracht naar het ziekenhuis 

Ter plaatse werd er onderzoek gedaan naar de toedracht van de aanrijding 

De politie meldde kort daarvoor dat er op de Torenstraat ter hoogte van de Albert Heijn een steekpartij had plaatsgevonden  Ook dit slachtoffer werd opgebracht naar het ziekenhuis  Of de onopvallende politieauto onderweg was naar deze melding is onbekend",2019/02/26,0,"[2, 7]"
Voetganger aangereden door lijnbus op Grote Markt,"en voetganger is dinsdagmiddag gewond geraakt bij een verkeersongeluk op de Grote Markt  Dat meldt de incidentenwebsite groningsnieuws 

Het ongeluk gebeurde rond 16 00 uur ter hoogte van de Martinitoren  Een voetganger werd door nog onbekende oorzaak aangereden door een lijnbus  Hulpdiensten waren snel ter plaatse  “Het slachtoffer is gewond afgevoerd per ambulance”, vertelt Raymond Bos van groningsnieuws  “Van omstanders hoor ik hier dat de persoon gewond is geraakt aan de benen ”

De politie doet onderzoek naar de precieze toedracht",2019/02/26,0,"[1, 10]"
Auto over de kop op de N2: bestuurder zwaargewond en lange files,"EINDHOVEN - Bij een ongeluk op de N2 ter hoogte van Eindhoven heeft de bestuurder van een auto zwaar letsel opgelopen  De wagen raakte maandagmorgen rond halftwaalf door nog onbekende oorzaak van de weg, sloeg meermalen over de kop en kwam in de middenberm tot stilstand  Het slachtoffer, dat als enige in de auto zat, is door de brandweer uit het wrak gehaald en nagekeken door personeel van een traumahelikopter 

Als gevolg van de 'crash' ontstond al snel een file vanuit Valkenswaard in noordelijke richting, maar ook in de andere richting liep het verkeer vast  Het is niet bekend hoe het ongeluk kon gebeuren",2019/02/25,0,[5]
Botsing tussen bus en scootmobiel in Overvecht: slachtoffer zwaargewond,"UTRECHT - In de Utrechtse wijk Overvecht is een aanrijding gebeurd tussen een bus en iemand op een scootmobiel  Die laatste is gewond afgevoerd door een ambulance  Hoe het met hem of haar gaat is nog onbekend 

Het ongeluk gebeurde iets voor 13 00 uur op de Zamenhofdreef, bij de oversteekplaats op de busbaan bij het winkelcentrum  

Er werd nog een traumahelikopter opgeroepen om medische hulp te verlenen, maar uiteindelijk bleek die toch niet nodig  Het slachtoffer is al naar het ziekenhuis gebracht",2019/02/25,0,"[10, 14]"
Heftig ongeluk op A12: auto op z'n kop bij De Meern,"DE MEERN - Bij een verkeersongeluk op de A12 ter hoogte van De Meern is vanmiddag een auto op z'n kop op de weg beland  Meerdere inzittenden zouden gewond zijn geraakt, maar dat is nog niet bevestigd door de politie 

De auto kwam in botsing met een vrachtwagen  De truck liep in tegenstelling tot de auto bijna geen schade op  Na de crash werden drie rijstroken afgesloten voor verkeer 

Het ongeluk gebeurde in de rijrichting Den Haag  Een berger heeft de over de kop geslagen auto weggesleept",2019/02/25,0,"[5, 12]"
Gewonde bij botsing in IJmuiden,"Twee auto’s zijn maandag aan het begin van de avond gebotst op het kruispunt van de Linnaeusstraat en de Havenkade in IJmuiden  Een van de bestuurders raakte gewond en moest naar het ziekenhuis 

Hoe ernstig de verwondingen van het slachtoffer zijn is niet bekend  Een jong meisje dat in de andere auto zat, werd ook nagekeken door het ambulancepersoneel  Zij kwam met de schrik vrij  De Koninklijke Marechaussee gaf haar een troostbeertje mee naar huis",2019/02/25,0,"[5, 5]"
Gewonde bij kop-staartbotsing op West-Frieslandsingel in Heerhugowaard,"Bij een kop-staartbotsing op de West-Frieslandsingel in Heerhugowaard is maandagavond een man gewond geraakt  Hij moest remmen voor een overstekende meerkoet 

De automobilist achter hem had dit te laat in de gaten en botste vol op zijn voorganger  De gewonde had last van zijn nek en is naar het ziekenhuis gebracht 

Beide auto’s zijn beschadigd geraakt door het ongeval en zijn afgevoerd door een berger",2019/02/25,0,"[5, 5]"
Verkeershinder op N208 door ongeval in Haarlem,"Verkeershinder op N208 door ongeval in Haarlem


© Mizzle Media





© Mizzle Media
Internetredactie
Vandaag om 17:39
HAARLEM
Het verkeer op de N208 in Haarlem heeft maandagmiddag veel last van een verkeersongeval gehad  Even voor 16 30 uur ging het mis voor de verkeerslichten bij de Jan Gijzenkade 

Een taxibusje richting Velsen botste op een personenwagen ervoor  Het verkeer op de N208 stond door het ongeval muurvast  Al ver voor de verkeerslichten met de Orionweg stond het verkeer vast 

Een vrouw in de auto raakte bij het ongeval lichtgewond  Ze is door ambulancepersoneel nagekeken  Een inzittende van de taxi, die in een rolstoel zit, is ook door ambulancepersoneel nagekeken 

Een ander taxibusje heeft haar verder vervoerd  Naast politie en ambulance was ook de brandweer ter plaatse gekomen om te assisteren met de hulpverlening",2019/02/25,0,"[5, 6]"
Fietser overlijdt na botsing met vrachtwagen,"DEN HAAG - Een fietser is maandagavond om het leven gekomen bij een verkeersongeval met een vrachtwagen in Den Haag  Dat laat de politie weten 

Het ongeluk gebeurde op de President Kennedylaan  Op dit moment wordt onderzocht wat er precies is gebeurd  De politie vraagt getuigen zich te melden",2019/02/25,1,"[12, 2]"
Botsing tussen bus en scootmobiel in Overvecht: slachtoffer zwaargewond,"UTRECHT - In de Utrechtse wijk Overvecht is een aanrijding gebeurd tussen een bus en iemand op een scootmobiel  Die laatste is gewond afgevoerd door een ambulance  Hoe het met hem of haar gaat is nog onbekend 

Het ongeluk gebeurde iets voor 13 00 uur op de Zamenhofdreef, bij de oversteekplaats op de busbaan bij het winkelcentrum  

Er werd nog een traumahelikopter opgeroepen om medische hulp te verlenen, maar uiteindelijk bleek die toch niet nodig  Het slachtoffer is al naar het ziekenhuis gebracht",2019/02/25,0,"[14, 10]"
Automobilist rijdt rechtdoor op rotonde en raakt gewond,"Op de Blijhamsterweg bij Winschoten is maandagavond laat een automobilist met zijn auto van de weg geraakt  De bestuurder kwam vanaf de oostelijke ringweg en reed op de rotonde bij de Shell-pomp rechtdoor 
Hij kwam in de berm tot stilstand  De automobilist kon zelf uit zijn voertuig komen, en is daarna behandeld in de ambulance en vervolgens naar het ziekenhuis gebracht 

De auto raakte licht beschadigd  De politie heeft een onderzoek ingesteld naar de oorzaak van het ongeval",2019/02/26,0,[5]
Grote verkeershinder na ernstig ongeval met voetganger in Arnhem,"ARNHEM– Maandagmiddag heeft er een aanrijding op de Velperbuitensingel in Arhem plaatsgevonden  Een voetganger is ernstig gewond geraakt 

De aanrijding gebeurde ter hoogte van de oversteek met de Spijkerstraat, recht voor het overvolle terras van café Vrijdag  Een personenauto en een voetganger kwamen met elkaar in botsing  Hoe de aanrijding precies heeft kunnen gebeuren in nog onbekend 

De voetganger is met onbekende verwondingen naar een ziekenhuis vervoerd  De politie doet onderzoek naar de exacte oorzaak van de aanrijding ​ Het verkeer ondervond grote hinder van de aanrijding  De singles rond de Arnhemse binnenstad stonden muurvast",2019/02/25,0,"[1, 5]"
Auto belandt op de kop op A4 bij Hoofddorp: afrit voorlopig dicht,"HOOFDDORP - Een auto is vanochtend op de A4 bij afrit Hoofddorp op de kop beland  De afrit is voorlopig afgesloten 

Het is onbekend hoe het ongeluk heeft kunnen gebeuren  Of er gewonden zijn gevallen, is ook niet bekend 

Volgens Rijkswaterstaat kunnen automobilisten die richting Amsterdam moeten keren bij afrit Schiphol  Een berger is op dit moment bezig de auto van de weg te slepen",2019/02/24,0,[5]
Vrouw raakt zwaargewond bij aanrijding met stadsbus in Werkendam,"WERKENDAM - Een vrouw is zondagmiddag om 14 05 uur op de fiets aangereden door een stadsbus op de Tol in Werkendam  Ze raakte daarbij zwaargewond  

Een traumahelikopter is opgeroepen om hulp te verlenen  Uiteindelijk is de vrouw met de ambulance in zorgwekkende toestand naar het ziekenhuis gebracht  De trauma-arts ging mee met de ambulance  

Vermoedelijk heeft de chauffeur van de bus de vrouw over het hoofd gezien  Die zou voorrang moeten verlenen aan de fietser  

De Tol is gedeeltelijk afgesloten voor politieonderzoek  De Verkeers Ongevallen Analyse (VOA) moet nog arriveren 

Het doorgaande verkeer kan doorrijden, maar het verkeer dat naar het busstation aan de oostzijde moet niet  Dit kan nog tot eind van de middag duren",2019/02/24,0,"[2, 10]"
Auto schept voetganger in Lisse,"Een voetganger is zondagochtend gewond geraakt nadat ze werd aangereden door een auto op de Nassaustraat in Lisse 

De voetganger stak over op een plek zonder zebrapad, de auto kon niet meer op tijd remmen en schepte het slachtoffer 

Het slachtoffer raakte gewond en werd, per ambulance, naar het ziekenhuis gebracht  De auto liep door het ongeluk schade op  Zo zat er een dikke barst in de voorruit 

Door het ongeluk is de gehele Nassaustraat enige tijd afgesloten in beide richtingen",2019/02/24,0,"[1, 5]"
Voetganger gewond bij aanrijding in Alkmaar,"Een voetganger is zondagavond gewond geraakt bij een aanrijding op de Kanaaldijk in Alkmaar  Het ging mis ter hoogte van de Breeuwerstraat 

Het slachtoffer is voor controle overgebracht naar het ziekenhuis  De bestuurder van de auto mocht na een controle van de politie doorrijden",2019/02/24,0,"[1, 5]"
Meisjes op scooter gewond na aanrijding met motor in Eindhoven,"EINDHOVEN - Twee meisjes die samen op een scooter zaten, zijn zondagavond gewond geraakt bij een ongeluk  Ze kwamen in botsing met een motorrijder op de kruising van de Van Oldenbarneveltlaan met de Eisenhowerlaan in Eindhoven 

Een meisje is naar het ziekenhuis gebracht met een ambulance  Ze zou last hebben van haar benen en nek- en rugklachten hebben  Volgens een omstander werd ze in een vacuümmatras gelegd  Dit is een matras waar een slachtoffer als het ware inzakt  Op deze manier kan de gewonde niet meer bewegen en veilig worden vervoerd 

Het andere meisje is nagekeken door ambulancepersoneel  Zij hoefde niet mee naar het ziekenhuis  De motorrijder is volgens de getuige niet gewond geraakt  Hoe het ongeluk kon gebeuren, is niet bekend",2019/02/24,0,"[3, 3, 4]"
Fietser gewond na aanrijding,"Apeldoorn - Op zaterdag 23 februari heeft er omstreeks 16 45 uur een botsing plaatsgevonden tussen twee fietsers op het fietspad langs het Kanaal ter hoogte van het Welgelegen Plantsoen 
Een van de fietsers kwam ten val en moest na behandeling in de ambulance worden overgebracht naar het ziekenhuis voor verdere behandeling  Hoe het ongeval heeft kunnen plaatsvinden is niet bekend  De politie heeft van verschillende getuigen een verklaring opgenomen",2019/02/24,0,"[2, 2]"
Scooters knallen tegen elkaar in Volendam: bestuurders gewond,"VOLENDAM - Iets over acht vanavond zijn twee scooters uit verschillende richtingen tegen elkaar geknald op de Heideweg in Volendam  Beide bestuurders zijn naar het ziekenhuis gebracht, zo bevestigt de politie 

Vermoedelijk is een scooterrijder gewond geraakt aan z'n hoofd  Hoe het ongeluk heeft kunnen gebeuren is nog niet bekend  De politie doet onderzoek naar de oorzaak",2019/02/24,0,"[3, 3]"
Voetganger aangereden door een taxi voor het Olympisch Stadion,"Een voetganger is vanavond aangereden door een taxi  Het ongeluk vond plaats ter hoogte van een zebrapad voor het Olympisch Stadion aan de Amstelveenseweg 

Het slachtoffer was aanspreekbaar en is per ambulance naar het ziekenhuis vervoerd  Hoe ernstig de verwondingen van het slachtoffer zijn, is niet bekend  De politie doet onderzoek naar het ongeluk",2019/02/25,0,"[1, 6]"
Motorrijdster gewond bij botsing in Roermond,"Bij een aanrijding in Roermond is zondagmiddag een motorrijdster gewond geraakt 

De vrouw is met beenletsel naar het ziekenhuis gebracht, meldt een correspondent 

De aanrijding gebeurde op de kruising van de N280 en de Wilhelminasingel  Hoe het ongeval precies is gebeurd, is nog niet duidelijk",2019/02/24,0,[4]
Voorrangsfout oorzaak aanrijding op beruchte kruising Hobbemaplein Den Haag [VIDEO] - District8.net,"Den Haag – Op het Hobbemaplein in Den Haag heeft in de nacht van zaterdag op zondag 24 februari een aanrijding plaatsgevonden  Rond 2 uur werden de hulpdiensten opgeroepen 

Een automobilist komend vanaf de Monstersestraat gaf geen voorrang aan de automobilist die vanaf de Hobbemastraat aan kwam rijden  Hierdoor kwamen zij midden op de kruising in botsing met elkaar  Een ambulance kwam zonder spoed ter plaatse en keek de bestuurders van beide auto’s na  Beide hoefde niet vervoerd te worden 

De bestuurder van de auto die voorrang had werd aangehouden doordat de blaastest positief eindigde en moest mee naar het politiebureau  Op het politiebureau moet de man een tweede blaastest afleggen en wordt gekeken of de man een dusdanige hoeveelheid alcohol in zijn lichaam heeft, dat hij strafbaar is of niet 

De auto van de aangehouden man is door een bergingsbedrijf afgesleept  De andere bestuurder kon op eigen kracht weer door, met flink wat schade aan de zijkant",2019/02/24,0,"[5, 5]"
"Auto doormidden bij botsing in Valthe, bestuurder ernstig gewond","Een 22-jarige man uit de gemeente Borger-Odoorn raakte in de nacht van vrijdag op zaterdag ernstig gewond nadat hij op de Hondsrugweg bij Valthe met zijn auto tegen een boom botste 

Door de zware klap brak de auto in tweeën  De achterkant van de auto belandde in de tuin van een nabijgelegen woning  De 22-jarige automobilist raakte ernstig gewond en is naar het ziekenhuis gebracht 

Na het ongeval was de gehele weg afgesloten  De politie doet onderzoek naar hoe het ongeluk heeft kunnen gebeuren  Volgens omstanders zou de automobilist tegen meerdere bomen zijn aangereden, waardoor de auto doormidden brak",2019/02/23,0,[5]
"Vrouw zwaargewond door ernstig ongeluk op N269 bij Hilvarenbeek, weg weer open","Een vrouw is zaterdagochtend de macht over het stuur verloren op de N269 ter hoogte van de Beekse Bergen in Hilvarenbeek  Ze raakte zwaargewond en moest met spoed naar het ziekenhuis worden gebracht  
 
Het ongeluk gebeurde rond kwart voor negen  De vrouw raakte door nog onbekende reden van de weg, kwam in de berm terecht, vloog over de kop, botste toen tegen een boom en belandde uiteindelijk in de greppel  Ze zat bekneld in haar voertuig en moest bevrijd worden door de brandweer, die enkele onderdelen van de auto heeft moeten afknippen om haar los te krijgen 

Behalve de brandweer kwamen ook een ambulance, de politie en een traumahelikopter ter plaatse  De traumahelikopter is geland op de N269  De weg van Hilvarenbeek naar Tilburg was tijdelijk afgesloten, maar is inmiddels weer open  Team verkeer van de politie doet onderzoek",2019/02/23,0,[5]
Bromfietser raakt gewond na botsing met auto in Borne,"Een bromfietser is vanmiddag gewond geraakt nadat hij in botsing kwam met een auto op de Stationsstraat in Borne 
Zowel auto als brommer liepen schade op  Volgens de politie ging mogelijk een voorrangsfout aan het ongeval vooraf  Daar wordt nog onderzoek naar gedaan",2019/02/23,0,"[3, 5]"
Fietser gewond in Bunschoten bij botsing met auto,"Nieuws
Sport

 DONDERDAG 21 FEBRUARI 2019, 19 57 UUR 
    
Fietser gewond in Bunschoten bij botsing met auto
BUNSCHOTEN-SPAKENBURG - In Bunschoten is vanavond een fietser aangereden  Het slachtoffer kwam op de Molenstraat in botsing met een auto 

De toedracht van het ongeluk is nog niet duidelijk  De fietser is met een ambulance naar het ziekenhuis gebracht 

Het ongeval gebeurde ter hoogte van de Prins Johan Frisostraat",2019/02/23,0,"[2, 5]"
Automobilist laat fietsster achter na ongeval,"Een automobilist in Weert heeft zaterdagavond een fietsster gewond achtergelaten na een aanrijding in Weert 

Het ongeluk gebeurde rond 22:00 uur op de rotonde van de Ringbaan Oost en de Sint Jobstraat 

Mitsubishi
De vrouw op de fiets raakte lichtgewond, maar dat was voor de bestuurder van de auto geen reden om te stoppen  Volgens de politie ging het om een grijze Mitsubishi Outlander met een kenteken dat met de cijfers '25' begon",2019/02/24,0,"[2, 5]"
Fietser en scooterrijder op de vuist na botsing in Haarlem,"HAARLEM
Een fietser is in de nacht van vrijdag op zaterdag gewond geraakt bij een botsing met een scooter op de Kampersingel in Haarlem  Na de ruzie die daarna ontstond, ging de scooterbestuurder ervandoor 

Het ongeluk gebeurde omstreeks 5 00 uur nabij de Lange Brug  Wat er precies is gebeurd, is nog onduidelijk 

De scooterrijder en fietser spraken na de botsing met elkaar, wat in eerste instantie goed leek te gaan, maar na enige tijd ontstond toch ruzie  De twee raakten in gevecht waarna de scooterbestuurder ervandoor ging 

Ambulancepersoneel heeft de fietser opgevangen, hij is voor verdere behandeling naar het ziekenhuis gebracht 

De fiets was, voordat de twee ruzie kregen, door de scooterrijder op slot gezet  Die heeft bij zijn vlucht ook de sleutel meegenomen  Agenten hebben de de tweewieler meegenomen naar het bureau  Naar de scooterbestuurder wordt nog gezocht",2019/02/23,0,"[2, 3]"
