Unnamed: 0,Titel,Artikel,Datum
2043,Man (68) komt om bij ongeval N215 bij Oude-Tonge | Blik op nieuws,"Oude-Tonge - Bij een ongeval op de N215 is woensdagavond ter hoogte van Oude-Tonge een 68-jarige man uit Oude-Tonge om het leven gekomen. Dit maakte een woordvoerder van de politie bekend. 
    Rond 19.00 uur reed de man door nog onbekende oorzaak tegen een lantaarnpaal. Het slachtoffer overleed op de plaats van het ongeval. De verkeersongevallendienst van de politie zal een onderzoek doen naar de toedracht van de aanrijding. De N215 ter hoogte van Oud-Tonge is tot ongeveer 22.00 uur afgesloten geweest.  ",03/07/2014
2044,Bestuurder (80) kon dodelijke aanrijding met vierjarig kind uit Genemuiden niet voorkomen | Zwartewaterland | destentor.nl,"De hulpdiensten zijn zaterdagavond uitgerukt voor een ernstig ongeval aan de Fabrieksstraat in Genemuiden. Bestuurder (80) kon dodelijke aanrijding met vierjarig kind uit Genemuiden niet voorkomen 
									Het kindje dat gisterenÃ‚Â  Ã‚Â in Genemuiden is een jongetje van vier jaar oud. Het jongetje komt uit Genemuiden. De 80-jarige bestuurder is na verhoor weer vrijgelaten, de man kon de aanrijding niet voorkomen.Ã‚Â DitÃ‚Â  Zaterdagavond omstreeks 18.00 uur reed de 80-jarige man met zijn auto over de Fabrieksstraat in Genemuiden. Plotseling stak het vierjarige jongetje op zijn fiets de straat over, hij kwam van achter een geparkeerde werkbus. De automobilist trapte hard op de rem, maar kon de tragische aanrijding niet voorkomen.Ã‚Â  Omstanders hebben eerste hulp geboden aan het jongetje, maar het slachtoffertje overleed ter plaatse aan zijn verwondingen.Ã‚Â  De 80-jarige bestuurder is aangehouden voor nader onderzoek. Al snel bleek dat de man niet onder invloed van alcohol verkeerde. Na verhoor is de man weer in vrijheid gesteld.Ã‚Â ",12/01/????
2045,Man (28) die in in brand gevlogen auto zat na ongeluk overleden in ziekenhuis - Omroep Brabant,"Foto: Vincent Krijtenburg/ Stuve fotografie Foto: Vincent Krijtenburg/ Stuve fotografie Foto: Vincent Krijtenburg/ Stuve fotografie 

						De 28-jarige automobilist uit Ossendrecht die maandagavond zwaargewond raakte bij een ongeluk in Hoogerheide, is dinsdag aan zijn verwondingen overleden. Dat bevestigt de politie.

					 

						Het slachtoffer botste rond kwart over zeven frontaal op een tegemoetkomende auto. Het voertuig vloog daarna in brand. Omstanders hebben het slachtoffer uit de auto gehaald. De brandweer heeft het vuur geblust. Het slachtoffer is door hulpdiensten gereanimeerd en met de traumahelikopter naar het Erasmus Medisch Centrum in Rotterdam gebracht. Daar overleed hij uiteindelijk aan zijn verwoningen. Oorzaak nog niet bekend Mogelijk is de man op de verkeerde weghelft terecht gekomen. Hoe dat kan, is nog niet bekend. De politie is een onderzoek begonnen. De bestuurder van de andere auto, een 29-jarige Bergenaar, bleef ongedeerd.",8/3/2016
2046,Slachtoffers dodelijk ongeluk Oirschot zijn 56-jarige Boxtelaar en 45-jarige Poolse vrouw | Boxtel | bd.nl,"Bij het ongeluk in Oirschot zijn twee doden gevallen. Slachtoffers dodelijk ongeluk Oirschot zijn 56-jarige Boxtelaar en 45-jarige Poolse vrouw 
									BOXTEL - De slachtoffers die woensdagochtend om het leven kwamen bij een botsing op de Oude Grintweg in Oirschot zijn een 56-jarige man uit Boxtel en een 45-jarige Poolse vrouw. De twee automobilisten kwamen iets voor half 6 woensdagochtendÃ‚Â  . De Poolse vrouw overleed direct, de man uit Boxtel raakte zwaargewond. Hulpverleners hebben de man nog gereanimeerd, maar ook hij overleed op de plek van het ongeluk. Hoe de aanrijding kon gebeuren, wordt nog onderzocht door de politie. Zij zouden graag met mensen spreken die het ongeluk hebben zien gebeuren. Coalitievorming in Boxtel",17/01/????
2047,Bejaarde vrouw omgekomen bij aanrijding in Meerkerk | Blik op nieuws,"Bejaarde vrouw omgekomen bij aanrijding in Meerkerk Meerkerk - Op de Burgemeester Sloblaan heeft een aanrijding plaatsgevonden tussen een vrachtauto en twee bejaarde vrouwen. Een van de slachtoffers is bij de aanrijding om het leven is gekomen. 
    De andere vrouw is met onbekend letsel naar het ziekenhuis vervoerd. Het ongeval vond plaats op dinsdag om 11:55 uur. De 29-jarige vrachtwagenchauffeur uit Rotterdam is aangehouden en naar het politiebureau gebracht om een verklaring af te leggen. De politie doet onderzoek naar de toedracht van het ongeval.  ",03/07/2014
2048,Vrouw uit Reuver omgekomen bij ongeval | Blik op nieuws,"Vrouw uit Reuver omgekomen bij ongeval Bij een &eacute;&eacute;nzijdig ongeval op de Rijksweg tussen Reuver en Belfeld, is vrijdagmiddag een 30-jarige vrouw uit Reuver om het leven gekomen. 
    De vrouw raakte rond kwart over twee om nog onbekende reden van de weg en ze reed tegen een boom. Hulpdiensten, waaronder een traumahelikopter, werden direct gealarmeerd, maar de vrouw bezweek ter plekke aan haar verwondingen.  
De politie onderzoekt het ongeval.  ",10/4/2010
2049,Pagina niet gevonden Ã¢â‚¬â€œ Nieuws op Beeld Ã¢â‚¬â€œ Altijd het laatste (112) nieuws vanuit de regio Rotterdam-Rijnmond!," OSM plugin V5.2.1: did not add geo meta tags.   START - Open Graph for Facebook, Google+ and Twitter Card Tags 2.2.6.1   Facebook Open Graph   Google+ / Schema.org   To solve: The attribute publisher.itemtype has an invalid value   END - Open Graph for Facebook, Google+ and Twitter Card Tags 2.2.6.1  

                    OepsÃ¢â‚¬Â¦ Error 404                 

                    Sorry, maar de pagina die je zoekt bestaat niet                 Nieuws op Beeld is een website die volledig draait op vrijwilligers. Met de redactie zorgen wij ervoor dat u 24 uur per dag en 7 dagen per week op de hoogte bent van het laatste (112)nieuws uit uw regio. Nieuws op Beeld is ontstaan in 2012 en is inmiddels mede door een fusie met VRR112.nl in 2013 gegroeid tot ÃƒÂ©ÃƒÂ©n van de grootste regionale 112 websites in het Rotterdam-Rijnmond gebied. Nieuws op Beeld trekt jaarlijks ruim 2.100.000 gelezen artikelen. Reportage Stichting Ambulance Wens Bekijk nu snel onze reportage over Stichting Ambulance Wens. Een reportage die wellicht ÃƒÂ©ÃƒÂ©n van de mooiste stukjes van hulpverlening laat zien. Heeft u beeldmateriaal nodig voor in uw uitzending? Neem dan contact met ons op via de volgende pagina. Wij zoeken jouw hulp! Nieuws op Beeld is op zoek naar fotografen! Wij zijn met name op zoek naar fotografen van incidenten uit heel Nederland. Wil je meer weten? Bekijk dan even onze pagina '",6/6/2019
2050,Vrouw overleden na aanrijding in Eindhoven - Omroep Brabant,"De vrouw die zondagavond in Eindhoven werd geschept door een auto is overleden aan haar verwondingen. (Foto: Sem van Rijssel) 

						De 52-jarige vrouw die zondagmiddag in Eindhoven werd aangereden door een auto, is maandagochtend in het ziekenhuis aan haar verwondingen overleden.

					 De vrouw zat op de fiets toen zij een oversteekplaats aan de Marathonloop in Eindhoven overstak. Volgens de politie verleende zij geen voorrang aan een auto. Ze werd geschept door de wagen en belandde via de voorruit een stuk verder op de weg. Twee ambulances werden zondagmiddag opgeroepen bij het ongeluk. Een traumahelikopter landde op het hockeyveld, in de buurt van de Marathonloop. Zwaargewond werd de vrouw naar het ziekenhuis gebracht.Ã‚Â   Maandagochtend bleek dat haar verwondingen dusdanig ernstig waren. De 52-jarige vrouw is overleden aan haar verwondingen. Specialisten zijn momenteel bezig met een analyse van het verkeersongeluk.Ã‚Â  Uit de analyse moet blijken of de bestuurder van de auto wordt vervolgd.",29/10/2018
2051,Voetganger op A2 geschept en op slag dood | Blik op nieuws,"Voetganger op A2 geschept en op slag dood Een voetganger is donderdagochtend vroeg overleden toen hij door een motorrijder op de A2 werd geschept. 
    Het ongeval gebeurde ter hoogte van het knooppunt Amstel, op de toerit van de A2 naar de A10. 
Het slachtoffer liep over de weg, toen hij door een motorrijder werd aangereden. Het slachtoffer overleed ter plaatse aan zijn verwondingen.  
De motorrijder raakte gewond en is met onbekend letsel naar een ziekenhuis overgebracht. Waarom de man op de weg liep is nog onduidelijk.  
Door de aanrijding is de verbindingsweg enige tijd afgesloten geweest voor de hulpverlening gevolgd door een politieonderzoek.  ",27/9/2012
2052,Dode (19) en 16-jarige kritiek in ziekenhuis na auto te water | Blik op nieuws,"Op de Stadsweg vond in de nacht van zaterdag 15 op zondag 16 maart een ernstig eenzijdig verkeersongeval plaats waarbij ÃƒÂ©ÃƒÂ©n dode viel en een zwaargewonde. Dit meldt de politie zondag. 
'Een personenauto raakte door nog onbekende oorzaak te water. Daarbij is de bestuurder, een 19-jarige jongen uit Krimpen aan den IJssel, overleden. Een tweede inzittende, een 16-jarig meisje uit dezelfde woonplaats, ligt in zeer kritieke toestand in het ziekenhuis', aldus de politie. 
Omstreeks middernacht kreeg de meldkamer bericht over een voertuig te water. Ter plaatse lag een personenauto op zijn kop in de vaart. Politie en brandweer wisten twee inzittenden uit de auto te halen. Voor hen werd het mobiel medisch team (traumahelikopter) opgeroepen. 
Beide slachtoffers waren niet aanspreekbaar en zijn in kritieke toestand naar het ziekenhuis overgebracht. De 19-jarige man is daar overleden. Een duikteam van de brandweer heeft nog enige tijd gezocht naar mogelijk andere slachtoffers, maar die werden niet aangetroffen. 
Over aanleiding van het ongeval is op dit moment niets te melden. De politie is nog volop bezig met bergingswerkzaamheden en onderzoek naar de toedracht. In verband met deze werkzaamheden zal de Stadsweg tussen Rouveen en Hasselt nog zeker enige uren deels afgesloten zijn.",16/09/2018
2053,Automobiliste omgekomen bij eenzijdig ongeval | Blik op nieuws,"Automobiliste omgekomen bij eenzijdig ongeval Donderdagmorgen rond 09.00 uur is op de Bathseweg in Rilland een 21-jarige vrouw uit de gemeente Reimerswaal om het leven gekomen. 
    De vrouw is door onbekende oorzaak met haar auto van de weg af geraakt en tegen een boom gereden.  ",23/6/2011
2054,Pagina niet gevonden - Haarlems Dagblad,"Pagina niet gevonden - Haarlems Dagblad  van haarlemsdagblad.nl.

                        ",?/?/????
2055,Man (26) overleden bij verkeersongeval in Renswoude | De Vallei | gelderlander.nl,"
									RENSWOUDE - Op de Emminkhuizerlaan in Renswoude is maandagochtend een auto te water geraakt. Hierbij is een 26-jarige man uit die plaats om het leven gekomen. Een getuige zag rond 6.45 uur een auto op de kop in de sloot liggen en heeft dat gemeld aan de hulpdiensten. De brandweer rukte met veel materieel uit, zo blijkt uit een   van de brandweer in Renswoude. De auto werd in de loop van de ochtend uit het water getakeld.  De oorzaak van het ongeval is nog niet bekend. De persoon in de auto was al overleden toen de hulpdiensten arriveerden. De politie gaat niet uit van een misdrijf.",11/03/17
2056,Automobilist ramt boom en overlijdt | RTV Utrecht, - Een 20-jarige man is zaterdagavond om het leven gekomen door een verkeersongeval in Lunteren.  De automobilist uit Wekerom reed op de Lage Valkseweg tegen een boom. De man liep zware hoofdverwondingen op en is daaraan ter plaatse overleden.  De politie weet nog niet wat de oorzaak is van het ongeval. ,2/12/2007
2057,Fatale botsing tegen pijler op A29 - RTV Rijnmond,"zwaargewonde op A29 bij Numansdorp - foto politie Hoeksche Waard 

						Op de A29 bij Numansdorp is zondagochtend een 33-jarige Hagenaar met zijn auto tegen een betonnen pijler gereden. Hij raakte ernstig gewond en overleed later op de dag in hetÃ‚Â Erasmus MC in Rotterdam.

					 Volgens de politie had de man ruzie gemaakt met zijn vriendin, waarna hij zonder toestemming de auto van zijn schoonmoeder had gepakt. De brandweer moest eraan te pas komen om de man uit de wagen te halen. Ook werd een traumahelikopter ingezet.",23/4/2017
2058,Scooterrijder (18) verongelukt in Bemmel | Lingewaard | gelderlander.nl,"Onderzoek op de plaats van het ongeval. 
									BEMMEL - Een 18-jarige scooterrijder uit Slijk-Ewijk is in de nacht van vrijdag op zaterdag om het leven gekomen bij een eenzijdig ongeval in Bemmel. Dat meldt de politie.  Op de hoek van de Dorpsstraat en de Herckenrathweg in Bemmel botste de jongen volgens de politie rond 04.30 uur tegen een middengeleider. Vervolgens kwam hij tegen een lantaarnpaal terecht.   Hij overleed ter plaatse aan zijn verwondingen. Hoe het ongeluk kon ontstaan, is volgens de politie nog niet bekend. Een voorbijganger vond het stoffelijk overschot van de jongen en zag een scooter op de weg liggen. De verkeersongevallendienst van de politie kwam ter plaatse. De oorzaak wordt nog onderzocht.  De weg was een tijdlang afgesloten voor verkeer. ",06/01/17
2059,Dodelijke aanrijding A22 bij Velsen | Blik op nieuws,"Dodelijke aanrijding A22 bij Velsen Door een aanrijding op de afrit van de A22 naar IJmuiden is woensdagmorgen een 33-jarige automobilist uit Duitsland om het leven gekomen en is zijn 21-jarige Poolse bijrijder gewond geraakt. Het ongeval gebeurde omstreeks 07.30 uur. 
    Uit het onderzoek door de politie kan op dit moment worden opgemaakt dat de bestuurder in een bocht van de weg vermoedelijk is verrast door een rij wachtende auto's voor het verkeerslicht bij de Amsterdamse Weg en zonder te remmen tegen de achterkant van een stilstaande vrachtauto is gereden. 
In verband met het onderzoek door de politie zijn de afritten naar IJmuiden van zowel de A22 als de N208 afgesloten. Het verkeer ondervindt daardoor hinder en wordt omgeleid.  ",19/11/2008
2060,Man uit Noordwolde (66) overlijdt bij ongeval op A6 | Flevopost,"
                            Ambulance
                                         
                                            28 maart 2016 om 16:58 uur
                                                     Lelystad / Noordwolde - Bij een ongeval op de A6 tussen Lelystad en Almere is maandagochtend een 66-jarige inwoner van Noordwolde overleden. Het ongeluk vond kort voor het middaguurÃ‚Â plaats ter hoogte vanÃ‚Â parkeerplaats De Aalscholver. De politie meldt dat het slachtoffer de macht over het stuur is verloren, waarna de auto in een greppel langs de weg is beland. Er waren geen andere voertuigen bij betrokken. De politie heeft het ongeval in onderzoek. -Almere is rond middaguur auto vd weg geraakt. Bestuurder, man 66 jr uit Noordwolde, is overleden.Voa doet onderzoek Tip de redactie via WhatsApp! Voeg Flevopost toe als contact in uw telefoon, 06-5751 5176, en stuur ons uw tips, fotoÃ¢â‚¬â„¢s en videoÃ¢â‚¬â„¢s. De digitale krant van Flevopost 
                            Flevopost, dichterbij kan niet.
                    ",?/?/????
2061,Man komt om na botsing met fietsbrug,"Man komt om na botsing met fietsbrug Man komt om na botsing met fietsbrug ma 26 mei 2014  20.24 uur De 32-jarige automobilist uit de gemeente Winsum is maandag om het leven gekomen nadat hij in botsing kwam met een pijler van de fietsbrug aan de Zuiderhogeweg in Drachten. Het ongeval vond rond 20.10 uur plaats toen de auto met hoge snelheid vanaf de BP over de Zuiderhogeweg reed. Volgens een omstander reed de auto slingerend over de weg. Op de rotonde kwam de auto vervolgens frontaal in botsing met de pijler van de fietsbrug. Volgens een getuige reed de auto met zeer hoge snelheid de rotonde op. Rondom de plek van het ongeval lagen na het ongeval overal onderdelen en brokstukken van het voertuig. Alle hulpdiensten, waaronder politie, brandweer en ambulances, zijn rond 20.20 uur ter plaatse gekomen om eerste hulp te verlenen. Alle hulp mocht niet meer baten. Het slachtoffer is ter plaatse aan zijn verwondingen overleden. De Zuiderhogeweg is door de politie enkele uren afgezet zodat de hulpverlening hun werk kon doen. De ongevalsanalyse van de politie (VOA) is ter plaatse gekomen om de exacte toedracht van het ongeval te onderzoeken.",?/?/????
2062,Pagina niet gevonden | Blik op nieuws,"
      De gevraagde pagina '/bericht/47957' kon niet worden gevonden.    ",?/?/????
2063,Nieuws - Brandweerspotters.nl,"html PUBLIC ""-//W3C//DTD XHTML 1.1//EN"" ""http://www.w3.org/TR/xhtml11/DTD/xhtml11.dtd""  Disable IE6 image toolbar  Nieuwsbericht bestaat niet meer 
	Het nieuwsbericht wat u wilt zien bestaat niet of is verwijderd. Inloggevens onthouden
			",?/?/????
2064,Ongeval A12 eist tweede leven | NU - Het laatste nieuws het eerst op NU.nl,"Ongeval A12 eist tweede leven DRIEBERGEN - Het ongeval waarbij dinsdagavond op de A12 bij Waddinxveen een 47-jarige passagiere van een auto om het leven kwam, heeft een tweede leven geÃƒÂ«ist.  In de nacht van dinsdag op woensdag overleed een 49-jarige man aan zijn verwondingen in het ziekenhuis. Dat heeft het Korps landelijke politiediensten gemeld. Het gaat om een Turks echtpaar dat op familiebezoek was in Nederland. Hun 19-jarige dochter raakte gewond. De bestuurster, een in Nederland woonachtig familielid, bleef ongedeerd. Het ongeval gebeurde toen een vrachtwagen achterop de personenauto reed die volgens ooggetuigen plotseling was stilgevallen. De A12 was in de richting Den Haag urenlang afgesloten.  Dodelijk ongeval A12",06/6/2019
2065,Dode in uitgebrande auto | Blik op nieuws,"Dode in uitgebrande auto Bij een eenzijdig ongeval op de Witrijt in Bergeijk is in de nacht van zondag op maandag een dode gevallen. De politie kon nog niet zeggen hoe het ongeluk precies gebeurd was. 
    Een passant had gemeld dat er een auto uitgebrand tegen een boom stond net na de Belgische grens in de richting van Eersel. De brandweer is toen voor een beknelling ter plaatse gegaan, maar trof ter plaatse een totaal uitgebrande auto aan met het slachtoffer er nog in.  
Het slachtoffer is daarbij zo ernstig verminkt, dat in een later stadium pas duidelijk is wie het slachtoffer is. Wel is duidelijk, dat op de personenwagen een Nederlandse kentekenplaat zat. De verkeersongevallenanalyse heeft ter plekke sporenonderzoek verricht.  ",2/2/2009
2066,"Nijmeegse (83) overlijdt na ongeval, ondanks reanimatie | Nijmegen | gelderlander.nl","Twee rijstroken zijn dicht door het ongeval. 
									NIJMEGEN - De automobiliste die maandagochtend op de A50 tussen Arnhem en Oss bij knooppunt Valburg richting Nijmegen onwel werd, is overleden. Het gaat om een 83-jarige vrouw uit Nijmegen. De vrouw reed maandagochtend kort na half tien op de A50 bij knooppunt Valburg, toen zij onwel werd.  Ze belandde met haar auto in de vangrail. De Nijmeegse is ter plekke gereanimeerd, maar dat heeft niet mogen baten. Ze is overleden. Een traumahelikopter was opgeroepen, maar is niet geland. Vanwege het eenzijdige ongeval waren twee rijstroken in de rijrichting van Oss korte tijd afgesloten. Daardoor ontstond op de A50 een file van vier kilometer.",14/59/????
2067,Motorrijder overleden na zwaar ongeval in Tegelen | 1Limburg | Nieuws en sport uit Limburg,"Motorrijder overleden na zwaar ongeval in Tegelen | 1Limburg | Nieuws en sport uit Limburg Motorrijder overleden na zwaar ongeval in Tegelen De motorrijder die maandagmiddag gewond raakte bij een aanrijding in Tegelen, is alsnog overleden. Het slachtoffer is een een 32-jarige man uit Tegelen. Het motorrijder kwam maandagmiddag in botsing met een auto op de  . Naast verschillende ambulances werd ook een traumahelikopter opgeroepen. De man werd met spoed naar het ziekenhuis overgebracht. Daar is hij 's nachts aan zijn verwondingen overleden. Het onderzoek naar de aanrijding loopt nog steeds, zo laat een woordvoerder van de politie weten.",?/?/????
2068,Meisje (7) omgekomen in het verkeer | Blik op nieuws,"Een 7-jarig meisje uit Purmerend is dinsdagmiddag rond 15.30 uur bij een verkeersongeluk op de Gorslaan om het leven gekomen. 
    Het meisje wilde per step de Gorslaan oversteken vanaf de Linnaeuslaan toen ze werd geraakt door een vrachtwagen die vanaf de Gorslaan rechtsaf de Linnaeuslaan wilde inslaan. Reddingspogingen van politie- en ambulancepersoneel mochten niet meer baten; het slachtoffertje is  even later in het Waterlandziekenhuis overleden. 
Verkeersondersteuning van de politie heeft de plek des onheils afgezet voor onderzoek naar de exacte toedracht van het incident. De 51-jarige vrachtwagenchauffeur uit Hilversum is meegenomen naar het politiebureau voor verhoor.  ",16/6/2009
2069,Scooterrijder overleden na val in Schiedam | Blik op nieuws,"Scooterrijder overleden na val in Schiedam Op de Harreweg in Schiedam vond een voorbijganger woensdagmiddag een gevallen scooterrijder in het gras. De voorbijgangerÃ‚Â zag een scooter liggen en ging kijken. Daarna trof hij een man aan die in het gras lag. De man was niet meer bij kennis. Politie, brandweer, ambulance en de traumahelikopter kwamen met spoed ter plaatse. Het slachtoffer is ruim drie kwartier gereanimeerd. Alle hulp mocht echter niet meer baten; de man overleed. Of de man onwel is geworden van de hitte of dat er iets anders is gebeurd is niet bekend.",01/07/2015
2070,"
      Identiteit dode verkeersongeval in Roermond bekend | Nieuwsbank
    ","
      Identiteit dode verkeersongeval in Roermond bekend | Nieuwsbank
    ",?/?/????
2071,Motorrijder omgekomen bij aanrijding Zwolle | Blik op nieuws,"Motorrijder omgekomen bij aanrijding Zwolle Vrijdagmorgen 2 juli, rond 04:15 uur is een 33-jarige motorrijder uit Zwolle, bij een verkeersongeval op de Kroesenallee, om het leven gekomen. 
    Komend vanuit de richting Dalfsen botste hij tegen een vrachtwagen die, vanuit een inrit bij een boerderij, de rijbaan opreed om richting Dalfsen te gaan. Deze vrachtauto werd bestuurd door een 47-jarige man uit Vroomshoop. Het slachtoffer overleed op de plaats van het ongeval.  
De weg Wythmen Ã¢â‚¬â€� Dalfsen (N757) was meerdere uren, voor berging van de voertuigen en sporenonderzoek door de politie, voor het verkeer afgesloten. Naar de toedracht van het ongeval wordt een nader onderzoek ingesteld.  ",2/7/2010
2072,Man (18) komt om bij ongeluk - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland,"NOORDGOUWE - Bij een verkeersongeval in Noordgouwe op Schouwen-Duiveland is woensdagavond iemand om het leven gekomen. Het ongeluk gebeurde rond 21.00 uur op de Kloosterweg. Een 18-jarige automobilist is door nog onbekende oorzaak met zijn auto tegen een boom gereden en over de kop gegaan. Het slachtoffer raakte bekneld en moest door de brandweer worden bevrijd. Ambulancepersoneel heeft nog geprobeerd de zwaargewonde man te reanimeren, maar dit mocht helaas niet meer baten. Het slachtoffer is ter plaatste overleden. Op de Kloosterweg lag ten tijde van het ongeluk slik. De politie heeft ter plekke een onderzoek ingesteld om te achterhalen of de modder heeft bijgedragen aan het plaatsvinden van het ongeluk. Boeren en loonwerkers zijn verplicht hun best te doen om vervuiling van de weg te voorkomen. Komt er toch slik op de weg of op een fietspad, dan moet dit zo snel mogelijk worden opgeruimd. De vervuiler is altijd aansprakelijk voor eventuele schade of letsel veroorzaakt door slik op de weg. Of dat in deze situatie ook geldt, moet volgens de politie nog worden onderzocht. Vanwege het ongeluk was de weg enige tijd afgesloten voor het verkeer. De wegbeheerder heeft later op de avond de weg schoongemaakt en weer vrijgegeven voor verkeer. Ik vind het niet normaal zoals sommige reageren. deze jongen is er niet meer en je kan het hem niet meer terug vragen wat er gebeurd is.

en ja de boeren mogen ook wel een beetje opletten. 

graag een beetje respect  Ik vind het triest dat de meeste dr vanuit gaan van go een jonge knul,zal wel te hard gerede hebbe bla bla,ken je dr wel mooi verhaaltje om heenmake ,maar ik wens de nabestaande heel veel sterkte toe in deze moeilijke tyd. Het is natuurlijk heel erg en ik wens de nabestaanden veel sterkte toe, maar is dit idd de EERSTE omgekomene automobilist dit jaar, zoals Zeeuwsvlaamse suggereert?? Dan is dat wel een laag aantal! Iedere dode is er 1 teveel, maar het jaar is bijna om en dan de eerste dode...  Wat een gezever weer tegen de boeren zeg. De algemene burgers zouden zich ook gewoon eens een keer kunnen inhouden qua autorijden... Alles moet snel en iedereen heeft haast. Heej maar vergeet niet dat boeren voor jullie vreten zorgt  en niet vanzelfsprekend vinden dat supermarkten vol blijven.. BAH! Veel sterkte in dit moeilijke verlies!. familie, vrienden en iedereen die Jacob-Jan lief hadden! Ik ken J-J niet niet persoonlijk maar het heeft wel indruk op me gemaakt, je ziet dat het zo snel in een keer zonder dat iemand het verwacht af gelopen zijn en dan..! Veel sterkt met het verlies. Ze waren vandaag aan de heuvelsweg bezig. Stonden borden 50 met slipgevaar, Trekkers met schuifbord borstel en waterwagen. Staan wij te wachten om die jongens dr werk te laten doen komen er nog mensen inhalen die schijnbaar haast hebben! Het geduld is ver te zoeken. ",?/?/????
2073,Twee personen overleden bij aanrijding | politie.nl,"Twee personen overleden bij aanrijding Tilburg - Donderdagavond zijn twee inwoners van Rijen overleden nadat ze aangereden waren bij het oversteken. De dader reed door. Donderdag 27 oktober 2016 om 20.00 uur zijn twee mensen aangereden op het moment dat ze de Bredaseweg overstaken. De aanrijding gebeurde bij de bushalte Wilgenstraat. Ze werden aangereden door een auto die na de aanrijding wegreed. De slachtoffers, een man van 62 en een vrouw van 59 uit Rijen, overleden ter plaatse aan hun verwondingen. Na de aanrijding schoten verschillende mensen de slachtoffers te hulp. Er werd met reanimatie gestart. Ook de toegesnelde hulpdiensten probeerde nog te helpen maar het mocht niet baten. Een van de getuigen riep hardop het kenteken van de doorgereden auto over straat. Daardoor konden verschillende getuigen een gedeelte van het kenteken aan de politie geven. Zoektocht auto en bestuurder De afdeling Verkeersongevallen Analyse startte een uitgebreid sporenonderzoek op de plaats van het incident. De weg was daardoor tot diep in de nacht afgesloten. Ook werd een zoektocht opgestart naar de doorgereden auto. Via verschillende kanalen werd een oproep gedaan om uit te kijken naar een kleine donkere auto met schade aan de voorzijde. Ook werd de doorgereden bestuurder opgeroepen om zich te melden voordat de zoektocht in alle hevigheid zou losbarsten. Nadat een burgernetmelding was uitgedaan kwam de melding dat de auto op de Haverhof geparkeerd stond. Via het kenteken kon de politie achter de tenaamgestelde komen. Deze 20-jarige Tilburger is rond 1.00 uur in zijn woning aangehouden. Hij verklaarde direct dat hij niet gereden had. Om 1.30 uur meldde zijn 23-jarige broer zich aan het bureau die verklaarde bestuurder te zijn geweest. Ook hij is aangehouden. Er zijn bij dit incident veel vragen. Ook is er een grote hoeveelheid aan forensische sporen, beelden van cameraÃ¢â‚¬â„¢s en mogelijke getuigen die gehoord moeten worden. Het onderzoek is in volle gang maar de verwachting is niet dat de toedracht op korte termijn bekend zal worden.",28/10/2016
2074,Vrouw wordt onwel achter stuur en overlijdt na botsing tegen boom | Aalten | gelderlander.nl,"Hulpdiensten op de plek van het ongeval op de Wikkerinkweg in Aalten. Vrouw wordt onwel achter stuur en overlijdt na botsing tegen boom AALTEN - Een 84-jarige bestuurster van een auto is dinsdagmiddag tegen een boom gebotst op de Wikkerinkweg, nabij de kruising met de Hamelandweg (N313), net buiten Aalten. De Aaltense is daarna overleden. De politie gaat er vanuit dat de bestuurster onwel is geworden achter het stuur. ,,Wij denken dat daardoor het ongeval is ontstaanÃ¢â‚¬â„¢Ã¢â‚¬â„¢, zegt een woordvoerder.Ã‚Â  In een bocht verloor de automobiliste de macht over het stuur en reed de greppel in.Ã‚Â De wagen kwam tot stilstand tegen een boom. De bestuurster was niet aanspreekbaar en is gereanimeerd, maar zij overleed korte tijd later. Het is nog onduidelijk of de vrouw is overleden aan de onwelwording of aan de gevolgen van het ongeval. De vrouw was vermoedelijk een proefrit aan het maken in de auto die ze die dag van plan was te kopen. De wagen wordt geborgen door een afsleepbedrijf. De dienst VerkeersOngevallenAnalyse van de politie doet ter plekke onderzoek naar het eenzijdige ongeval.",21/30/????
2075,Fietsster (46) omgekomen door aanrijding | Blik op nieuws,"Een 46-jarige vrouw uit Roggel is donderdagmorgen overleden bij een verkeersongeval op de Heldensedijk. Het slachtoffer fietste op het fietspad naast de rijweg en wilde bij een fietsoverssteekplaats oversteken. 
    Daarbij zag ze vermoedelijk de vrachtwagen over het hoofd. Er ontstond een aanrijding waarbij de vrouw is overleden. De 21 jarige vrachtwagenchauffeur uit Someren is gehoord op het politiebureau. De weg is tot circa 11.15 uur gestremd geweest.  ",20/10/2011
2076,Vrouw (81) overlijdt na aanrijding in Vierhouten - Omroep Gelderland,"

						Een vrouw van 81 die donderdagmiddag zwaargewond raakte bij een ongeluk in Vierhouten, is aan haar verwondingen overleden. Dat meldde de politie zaterdagmiddag.

					 De vrouw stak met de fiets de Elspeterweg over, toen ze werd aangereden door een auto. Ze werd met de traumahelikopter naar het ziekenhuis gebracht. Daar is ze aan haar verwondingen overleden.",27/5/2017
